MaDonHang,Ngay,LoaiDichVu,MaDichVu,HoTenKhachHang,SDTKhachHang,NguoiBan,TenNVKD,TenCTV,SDTCTV,NVKyThuat,TrangThai,GiaTri
OD26060101,2026-06-01,FTTH (Internet cáp quang),ftth,Nguyễn Văn Bình,0933112233,NVKD,Lê Văn Linh,,,Nguyễn Kỹ Thuật,Hoàn thành,320000
OD26060205,2026-06-02,Mua gói Data,mua-goi-data,Trần Thị Mai,0977445566,CTV,Lê Văn Linh,Trần Thị Lan Hương,0912000111,,Hoàn thành,150000
OD26060512,2026-06-05,Combo Internet + Truyền hình,combo,Lê Văn Cường,0988556677,CTV,Lê Văn Linh,Lê Hoàng Nam,0987000222,Nguyễn Kỹ Thuật,Hoàn thành,450000
OD26060618,2026-06-06,Mua sim/số,mua-sim-so,Phạm Thị Hoa,0966223344,NVKD,Lê Văn Linh,,,,Hoàn thành,200000
OD26061003,2026-06-10,Truyền hình,truyen-hinh,Hoàng Văn Đức,0912334455,CTV,Lê Văn Linh,Phạm Ngọc Thảo,0977000333,,Đang thực hiện,180000
OD26061109,2026-06-11,Đổi eSIM,doi-esim,Vũ Thị Lan,0944556677,NVKD,Lê Văn Linh,,,,Hoàn thành,25000
OD26061420,2026-06-14,Camera,camera,Đặng Văn Sơn,0955667788,CTV,Lê Văn Linh,Trần Thị Lan Hương,0912000111,Nguyễn Kỹ Thuật,Đang triển khai,250000
OD26061707,2026-06-17,FTTH (Internet cáp quang),ftth,Bùi Thị Nga,0922334455,NVKD,Lê Văn Linh,,,Nguyễn Kỹ Thuật,Hoàn thành,280000
OD26062015,2026-06-20,Mua gói Data,mua-goi-data,Đỗ Văn Long,0933667788,CTV,Lê Văn Linh,Hoàng Tuấn Kiệt,0989858785,,Đã hủy,120000
OD26062211,2026-06-22,Chuyển sang trả sau,chuyen-tra-sau,Ngô Thị Thu,0966778899,NVKD,Lê Văn Linh,,,,Hoàn thành,0
OD26062501,2026-06-25,Mua sim/số,mua-sim-so,Nguyễn Văn Bình,0933112233,CTV,Lê Văn Linh,Lê Hoàng Nam,0987000222,,Hoàn thành,350000
OD26062809,2026-06-28,Combo Internet + Truyền hình,combo,Trần Thị Mai,0977445566,NVKD,Lê Văn Linh,,,Nguyễn Kỹ Thuật,Đang thực hiện,480000
OD26070103,2026-07-01,Đăng ký thông tin thuê bao,dang-ky-thong-tin,Lê Văn Cường,0988556677,CTV,Lê Văn Linh,Phạm Ngọc Thảo,0977000333,,Hoàn thành,0
OD26070406,2026-07-04,Lan tỏa cài đặt App,lan-toa-app,Phạm Thị Hoa,0966223344,CTV,Lê Văn Linh,Trần Thị Lan Hương,0912000111,,Hoàn thành,20000
OD26070712,2026-07-07,Truyền hình,truyen-hinh,Hoàng Văn Đức,0912334455,NVKD,Lê Văn Linh,,,,Đang triển khai,150000
OD26071018,2026-07-10,Camera,camera,Vũ Thị Lan,0944556677,CTV,Lê Văn Linh,Hoàng Tuấn Kiệt,0989858785,Nguyễn Kỹ Thuật,Hoàn thành,220000
OD26071305,2026-07-13,Mua gói Data,mua-goi-data,Đặng Văn Sơn,0955667788,NVKD,Lê Văn Linh,,,,Đã hủy,90000
OD26071609,2026-07-16,FTTH (Internet cáp quang),ftth,Bùi Thị Nga,0922334455,CTV,Lê Văn Linh,Lê Hoàng Nam,0987000222,Nguyễn Kỹ Thuật,Hoàn thành,350000
OD26071914,2026-07-19,Chuyển sang trả trước,chuyen-tra-truoc,Đỗ Văn Long,0933667788,NVKD,Lê Văn Linh,,,,Hoàn thành,0
OD26072202,2026-07-22,Chăm sóc thu cước,cham-soc-thu-cuoc,Ngô Thị Thu,0966778899,CTV,Lê Văn Linh,Phạm Ngọc Thảo,0977000333,,Hoàn thành,0
