VisitorId,SDT,NguoiGioiThieuCode,LoaiNguoiGioiThieu,LanDauTruyCap,LanCuoiTruyCap,SoLanGhe,DichVuDaXem,NguonThuThapSDT,PhanLoai,TrangThaiXuLy
vl-0001,0938201122,CNKD_HCM_LINHLV12,NVKD,2026-07-18,2026-07-22,3,"FTTH (Internet cáp quang), Combo Internet + Truyền hình",Chủ động,Tiềm năng cao,Chưa liên hệ
vl-0002,0912000111,0912000111,CTV,2026-07-20,2026-07-20,1,Mua gói Data,Chủ động,Loại trừ (nội bộ),Bỏ qua
vl-0003,0977445566,CNKD_HCM_LINHLV12,NVKD,2026-07-15,2026-07-21,4,"Mua gói Data, FTTH (Internet cáp quang)",Khách đã đăng nhập,Khách hàng hiện hữu,Đã liên hệ
vl-0004,,CNKD_HCM_LINHLV12,NVKD,2026-07-22,2026-07-22,1,FTTH (Internet cáp quang),Chưa có,Chưa xác định SĐT,Chưa liên hệ
vl-0005,0955889900,0987000222,CTV,2026-07-19,2026-07-22,2,"Combo Internet + Truyền hình, Camera",Chủ động,Tiềm năng cao,Chưa liên hệ
vl-0006,0966009911,0977000333,CTV,2026-07-21,2026-07-21,1,Mua gói Data,Chủ động,Tiềm năng mới,Chưa liên hệ
vl-0007,0933112233,CNKD_HCM_LINHLV12,NVKD,2026-07-10,2026-07-24,5,"Mua sim/số, FTTH (Internet cáp quang)",Khách đã đăng nhập,Khách hàng hiện hữu,Đã liên hệ
vl-0008,0944118822,0989858785,CTV,2026-07-23,2026-07-23,1,Camera,Chủ động,Tiềm năng mới,Chưa liên hệ
vl-0009,0909000123,CNKD_HCM_LINHLV12,NVKD,2026-07-24,2026-07-24,1,FTTH (Internet cáp quang),Khách đã đăng nhập,Loại trừ (nội bộ),Bỏ qua
vl-0010,0922556677,CNKD_HCM_LINHLV12,NVKD,2026-07-17,2026-07-23,3,"Truyền hình, Camera, Combo Internet + Truyền hình",Chủ động,Tiềm năng cao,Đã liên hệ
